Task | Success rate | Errors
managed-disk | 94.0% | [5, 29, 30] | [1, 1, 10, 0, 10, 3, 0, 0, 0, 2, 0, 3, 8, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
network | 100.0% | [] | [5, 2, 1, 8, 11, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-subnet | 0.0% | [0, 1, 2, 11, 13, 14, 16, 17, 19, 20, 26, 27, 29, 30, 33, 51, 53] | [7, 9, 0, 1, 0, 7, 5, 0, 3, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 3, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]
network-subnet-public_ip | 0.0% | [0, 1, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 29, 34, 37, 39, 42, 48, 53] | [6, 2, 6, 3, 2, 1, 1, 1, 5, 6, 0, 1, 0, 0, 2, 1, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
network-subnet-public_ip-firewall | 0.0% | [0, 1, 2, 5, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 22, 23, 25, 27, 28, 32, 34, 35, 36, 37, 40, 41, 46, 47, 48, 49, 51, 52, 53] | [4, 1, 1, 1, 1, 5, 1, 0, 3, 1, 1, 0, 1, 5, 1, 1, 3, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1]
provider | 100.0% | [] | [49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
public_ip-load_balancer | 98.0% | [3] | [1, 3, 1, 2, 7, 0, 2, 14, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
resource_group | 98.0% | [20] | [6, 0, 7, 3, 0, 1, 0, 1, 6, 0, 3, 0, 0, 1, 0, 1, 6, 1, 0, 0, 4, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
storage_account | 100.0% | [] | [2, 13, 0, 4, 5, 0, 1, 2, 1, 0, 1, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]
storage_account-threat_protection | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Average success rate 50.0952380952381%
