Task | Success rate | Errors
kubernetes_cluster | 86.0% | [0, 10, 17, 20, 24, 34, 46] | [1, 1, 1, 7, 1, 3, 0, 5, 0, 1, 4, 0, 1, 1, 2, 0, 1, 1, 1, 3, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0]
managed-disk | 96.0% | [10, 23] | [2, 2, 1, 14, 0, 0, 8, 1, 1, 2, 1, 2, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
network | 100.0% | [] | [8, 7, 3, 2, 0, 3, 0, 0, 3, 2, 2, 0, 2, 8, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]
network-subnet | 2.0% | [0, 1, 2, 10, 12, 14, 16, 18, 20, 21, 22, 31, 32, 33, 35, 48, 50, 51] | [12, 1, 2, 1, 7, 0, 2, 0, 1, 0, 3, 0, 3, 6, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]
network-subnet-public_ip | 0.0% | [0, 1, 2, 3, 10, 12, 13, 14, 16, 18, 19, 23, 24, 26, 27, 29, 30, 32, 37, 38, 40, 43, 45, 47] | [1, 9, 5, 0, 1, 1, 2, 0, 2, 0, 5, 6, 1, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
network-subnet-public_ip-firewall | 0.0% | [0, 2, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 30, 33, 35, 36, 38, 39, 40, 42, 43, 44, 45, 46, 47, 51, 53] | [5, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 2, 3, 1, 0, 3, 2, 1, 1, 6, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1]
provider | 100.0% | [] | [46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
public_ip-load_balancer | 100.0% | [] | [1, 8, 6, 1, 1, 0, 1, 3, 0, 0, 1, 0, 1, 2, 0, 1, 0, 7, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1]
resource_group | 92.0% | [23, 31, 37, 46] | [11, 7, 10, 2, 0, 0, 0, 4, 1, 0, 0, 0, 3, 5, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
storage_account | 90.0% | [15, 23, 33, 38, 39] | [8, 3, 0, 1, 8, 0, 5, 1, 3, 1, 3, 1, 7, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
storage_account-threat_protection | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]
Average success rate 46.095238095238095%
