Task | Success rate | Errors
kubernetes_cluster | 0.0% | [0, 1, 2, 10, 11, 13, 15, 16, 18, 20, 23, 24, 25, 27, 29, 30, 31, 36, 40, 42, 43, 45, 47, 48, 49, 50, 51, 53] | [1, 1, 3, 3, 0, 1, 0, 4, 1, 0, 1, 0, 1, 5, 0, 0, 5, 1, 2, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 3, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]
managed-disk | 0.0% | [0, 1, 2, 5, 11, 14, 16, 17, 20, 21, 24, 26, 27, 28, 29, 31, 35, 40, 41, 42, 44, 46, 47, 48, 49, 50] | [1, 7, 0, 9, 0, 0, 1, 0, 1, 1, 0, 0, 3, 2, 1, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 1, 0, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]
network | 0.0% | [0, 1, 5, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 26, 28, 30, 33, 34, 35, 37, 38, 43, 46, 49, 50, 52, 53] | [2, 1, 4, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 15, 1, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1]
network-subnet | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 41, 42, 44, 45, 46, 48, 49, 50, 51, 52] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 0, 1, 2, 3, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]
network-subnet-public_ip | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 36, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53] | [3, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 3, 3, 4, 0, 1, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]
network-subnet-public_ip-firewall | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 38, 40, 41, 42, 43, 45, 46, 48, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 2, 1, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 1]
provider | 32.0% | [0, 1, 10, 11, 14, 19, 20, 22, 27, 28, 30, 39, 41] | [5, 13, 3, 1, 0, 0, 1, 0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
public_ip-load_balancer | 0.0% | [0, 2, 5, 10, 11, 12, 15, 16, 17, 19, 20, 22, 26, 28, 31, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52] | [5, 0, 1, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 15, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
resource_group | 32.0% | [1, 13, 17, 20, 22, 23, 26, 27, 30, 33, 35, 38, 39, 40, 41, 42, 43, 44, 52, 53] | [10, 2, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 5, 0, 3, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 6, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
storage_account | 0.0% | [0, 1, 2, 4, 10, 11, 17, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 33, 34, 35, 38, 39, 40, 41, 42, 47, 52] | [4, 3, 13, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 3, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]
storage_account-threat_protection | 0.0% | [0, 1, 2, 10, 13, 14, 15, 17, 18, 20, 26, 28, 29, 30, 31, 35, 39, 40, 41, 42, 44, 45, 46, 47, 49, 52, 53] | [1, 14, 1, 0, 0, 4, 3, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 1, 4, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]
Average success rate 3.0476190476190474%
