Task | Success rate | Errors
network-firewall | 0.0% | [0, 1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 19, 23, 26, 28, 31, 39, 45, 47] | [1, 1, 5, 3, 1, 3, 13, 1, 0, 0, 0, 5, 3, 0, 0, 0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]
network-instance | 0.0% | [0, 1, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 41, 45, 49] | [16, 6, 1, 1, 1, 1, 9, 2, 0, 2, 1, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
network-route | 0.0% | [0, 1, 4, 11, 12, 14, 17, 18, 19, 25, 27, 35, 36, 45, 47] | [26, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 6, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]
network-router | 0.0% | [0, 1, 10, 12, 14, 15, 16, 22, 24, 25, 28, 29, 35, 39, 43, 48] | [5, 9, 5, 0, 6, 0, 4, 3, 3, 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
network-subnetwork | 0.0% | [0, 1, 2, 10, 11, 12, 13, 15, 17, 19, 23, 25, 26, 29, 31, 32, 33, 35, 38, 40, 41, 45] | [2, 2, 1, 1, 2, 8, 0, 3, 0, 2, 0, 2, 6, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 4, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-subnetwork-address | 0.0% | [0, 1, 2, 5, 10, 12, 13, 14, 17, 18, 22, 24, 26, 27, 28, 30, 33, 35, 36, 37, 38, 39, 41, 49] | [6, 1, 9, 0, 3, 1, 2, 0, 0, 1, 3, 0, 1, 0, 0, 5, 0, 1, 0, 3, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]
network-vpn_gateway | 0.0% | [0, 2, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 33, 36, 40, 42, 43] | [6, 0, 2, 8, 2, 2, 1, 1, 2, 1, 0, 3, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
network_empty | 4.0% | [0, 1, 2, 10, 11, 12, 17, 21, 25, 44] | [4, 13, 7, 12, 2, 0, 0, 0, 0, 3, 0, 1, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
node_template | 0.0% | [0, 1, 2, 10, 11, 15, 24, 27] | [11, 6, 1, 25, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
node_template-node_group | 0.0% | [0, 2, 10, 11, 12, 13, 17, 19, 26, 28, 30, 31, 33, 34, 37, 38, 39] | [13, 0, 1, 5, 1, 2, 0, 0, 0, 1, 0, 2, 12, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
notebook_env | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 26, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 1, 4, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]
notebook_instance | 0.0% | [0, 3, 4, 10, 14, 21, 23, 25, 27, 29, 30, 41, 48] | [20, 0, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
provider | 66.0% | [1, 8, 9, 13, 25, 36, 37, 39, 40, 42, 47, 49] | [33, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]
sql_instance-sql_database | 0.0% | [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 40, 41, 42, 43, 44, 45, 47, 49] | [1, 1, 2, 1, 4, 1, 1, 1, 0, 1, 0, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]
Average success rate 7.916666666666668%
