Task | Success rate | Errors
network-firewall | 0.0% | [0, 1, 2, 10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 36, 37, 41, 42, 43, 44, 45, 47, 49] | [1, 1, 8, 7, 0, 1, 0, 0, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0]
network-instance | 0.0% | [0, 1, 6, 10, 11, 12, 14, 16, 17, 20, 21, 22, 31, 33, 34, 35, 37, 38, 40, 43, 46, 48] | [4, 6, 9, 2, 4, 0, 1, 0, 7, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0]
network-route | 0.0% | [0, 1, 3, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 33, 34, 35, 36, 38, 40, 41, 42, 43, 45, 49] | [1, 3, 5, 1, 0, 3, 1, 1, 5, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 2, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1]
network-router | 0.0% | [0, 1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 37, 38, 39, 42, 44, 48, 49] | [3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 3, 1, 1, 2, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1]
network-subnetwork | 0.0% | [0, 6, 9, 10, 11, 12, 13, 15, 16, 19, 21, 22, 23, 29, 30, 33, 35, 36, 38, 39] | [20, 0, 1, 2, 1, 1, 0, 5, 1, 0, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
network-subnetwork-address | 0.0% | [0, 1, 6, 8, 10, 17, 20, 24, 25, 28, 30, 32, 36, 39, 40, 41, 42, 44, 47, 49] | [8, 20, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]
network-vpn_gateway | 0.0% | [0, 1, 2, 4, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 27, 28, 35, 36, 37, 38, 39, 42, 43, 46, 49] | [3, 3, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 5, 0, 0, 1, 1, 3, 1, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]
network_empty | 0.0% | [0, 13, 14, 34, 41] | [37, 0, 0, 0, 0, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
node_template | 0.0% | [0, 1, 2, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 35, 36, 40, 42, 44] | [2, 2, 1, 0, 9, 2, 2, 3, 1, 1, 1, 4, 2, 2, 1, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]
node_template-node_group | 0.0% | [0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 3, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
notebook_env | 0.0% | [0, 1, 4, 10, 13, 15, 17, 18, 26, 35, 36, 39, 42, 43] | [6, 1, 21, 0, 0, 1, 0, 8, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
notebook_instance | 0.0% | [0, 1, 2, 12, 23, 25, 27, 31, 36, 46] | [32, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
provider | 100.0% | [] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
sql_instance-sql_database | 36.0% | [0, 2, 6, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 27, 28, 29, 31, 32, 33, 34, 37, 40, 41, 42, 44] | [1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
Average success rate 8.916666666666668%
