Task | Success rate | Errors
network-firewall | 0.0% | [0, 1, 3, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 46, 48, 50, 51, 53] | [1, 2, 4, 1, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 4, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]
network-instance | 10.0% | [1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 24, 29, 32, 33, 35, 38, 39, 42, 46, 47, 49] | [1, 1, 1, 5, 4, 3, 1, 6, 1, 4, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 4, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]
network-route | 0.0% | [0, 1, 2, 3, 5, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 44, 45, 46, 47, 49, 50, 51, 52] | [1, 1, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 0, 1, 1, 3, 1, 2, 1, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]
network-router | 2.0% | [0, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 27, 29, 30, 31, 32, 33, 35, 48, 53] | [3, 0, 3, 3, 6, 2, 0, 5, 3, 1, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
network-subnetwork | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 16, 17, 18, 19, 21, 23, 25, 29, 33, 34, 36, 39, 45, 51, 53] | [4, 2, 3, 3, 2, 2, 0, 0, 3, 5, 4, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 0, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]
network-subnetwork-address | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 25, 29, 33, 35, 36, 38, 39, 40, 42, 43, 44, 48, 49, 52, 53] | [2, 2, 1, 1, 2, 3, 1, 1, 5, 0, 1, 4, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 1, 1, 0, 0, 0, 2, 2, 0, 0, 0, 1, 1]
network-vpn_gateway | 6.0% | [0, 1, 2, 5, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 29, 30, 33, 34, 36, 38, 43, 44, 46, 48, 49, 50] | [1, 6, 1, 1, 3, 1, 1, 1, 0, 1, 1, 0, 1, 1, 3, 6, 1, 1, 1, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]
network_empty | 6.0% | [0, 2, 10, 12, 13, 14, 17, 20, 21, 22, 29, 34, 37, 39, 41, 42, 48, 50, 53] | [2, 1, 2, 0, 4, 2, 1, 2, 0, 10, 0, 0, 1, 5, 8, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]
node_template | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53] | [1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]
node_template-node_group | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
notebook_env | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 27, 28, 30, 32, 35, 36, 37, 40, 41, 42, 44, 47, 48, 49, 53] | [1, 3, 1, 1, 4, 8, 1, 4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1]
notebook_instance | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
provider | 98.0% | [14] | [2, 11, 0, 8, 0, 6, 1, 0, 15, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
sql_instance-sql_database | 4.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 45, 46, 48, 49, 50, 51, 53] | [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
Average success rate 6.583333333333334%
