Task | Success rate | Errors | Distribution
instance-output_cpu | 12.0% | [0, 1, 2, 4, 18, 19, 22, 23, 26, 32, 34, 42, 49] | [8, 4, 0, 2, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 0, 11, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]
instance_access_config | 0.0% | [0, 1, 12, 17, 32, 47] | [9, 31, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
ml-engine | 0.0% | [0, 1, 10, 37] | [4, 42, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-firewall | 100.0% | [] | [14, 17, 0, 3, 0, 2, 0, 6, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
network-instance_self_link | 0.0% | [0, 1, 4, 13, 18, 46, 49] | [1, 35, 0, 0, 0, 7, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
network-route | 0.0% | [0, 1, 4, 10, 13, 14, 16, 19, 20, 22, 28, 30, 32, 35, 38, 41, 43] | [11, 2, 4, 0, 0, 6, 2, 0, 3, 0, 0, 7, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-router | 0.0% | [0, 1, 2, 12, 15, 16, 23, 31, 43, 50] | [1, 30, 0, 0, 2, 0, 0, 1, 9, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
network-subnetwork | 0.0% | [0, 2, 13, 14, 15] | [37, 0, 0, 0, 0, 3, 8, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-subnetwork-address | 0.0% | [0, 1, 12, 13, 16, 17, 19, 20, 21, 23, 24] | [4, 17, 0, 0, 1, 2, 0, 0, 1, 12, 0, 1, 0, 4, 2, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-vpn_gateway | 0.0% | [0, 1, 2, 4, 10, 11, 12, 13, 15, 17, 23, 35, 36, 37, 38, 40, 42, 46, 52] | [2, 1, 12, 8, 9, 1, 0, 2, 0, 3, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]
network_empty | 68.0% | [0, 1] | [5, 11, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network_subnet | 100.0% | [] | [2, 1, 11, 33, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
node_template | 0.0% | [0, 1, 3, 10, 11, 12, 13, 14, 15, 16, 20, 23, 26, 27, 28, 32, 33, 36, 38, 40, 42, 44, 49, 51, 52] | [2, 1, 1, 7, 4, 1, 1, 4, 11, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
node_template-node_group | 0.0% | [0, 1, 2, 3, 4, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 27, 29, 30, 31, 35, 41, 43, 45, 46, 48, 49, 50, 52] | [1, 3, 6, 0, 3, 1, 3, 1, 1, 0, 2, 5, 1, 2, 2, 1, 0, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]
notebook_env | 0.0% | [0, 1, 10, 11, 12, 19, 20, 27, 33, 45, 46] | [1, 19, 4, 9, 9, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
notebook_instance | 4.0% | [0, 1, 10, 11, 13, 14, 16, 17, 20, 21, 23, 25, 27, 31, 33, 39, 46, 51] | [1, 19, 5, 1, 0, 2, 3, 0, 1, 2, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]
provider_only | 100.0% | [] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
provider_project | 0.0% | [0] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
sql_instance-sql_database | 92.0% | [26, 30] | [19, 0, 3, 0, 0, 0, 11, 0, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Average success rate 23.17241379310345%
