Task | Success rate | Errors
provider-vpc-vpc | 0.0% | [0, 1, 2, 4, 5, 10, 11, 13, 14, 15, 16, 17, 20, 21, 22, 23, 33, 35] | [1, 1, 1, 9, 0, 7, 1, 1, 2, 4, 0, 0, 9, 1, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
random_pet-bucket | 70.0% | [1, 12, 14, 21, 23, 32, 49, 51] | [1, 1, 14, 6, 5, 0, 4, 0, 6, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]
security | 96.0% | [27, 28] | [1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 7, 1, 0, 0, 2, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 4, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0]
security-instance | 94.0% | [0, 22, 28] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
service_quota | 100.0% | [] | [5, 12, 1, 4, 0, 17, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
variable | 98.0% | [17] | [27, 0, 0, 14, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
variable-security_ssh-security_web-instance | 42.0% | [0, 1, 2, 5, 10, 13, 14, 15, 16, 18, 19, 20, 21, 25, 26, 28, 29, 30, 31, 32, 33, 35, 38, 40, 42, 47, 48, 50, 52] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
vpc | 94.0% | [13, 16, 26] | [46, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-default_network_acl | 18.0% | [0, 1, 2, 10, 11, 12, 13, 14, 15, 17, 18, 20, 22, 23, 27, 29, 31, 32, 35, 36, 40, 52] | [1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 8, 0, 6, 2, 0, 1, 4, 2, 3, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
vpc-egress_only_internet_gateway | 100.0% | [] | [3, 3, 23, 8, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
vpc-gateway | 98.0% | [42] | [20, 5, 0, 0, 10, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
vpc-gateway-instance-eip | 14.000000000000002% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 44, 46, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
vpc-gateway-route_table-route | 18.0% | [0, 10, 11, 13, 15, 16, 18, 19, 20, 23, 25, 26, 27, 28, 30, 31, 33, 41, 44, 45, 47, 50, 51, 52, 53] | [2, 1, 2, 3, 1, 6, 3, 1, 1, 0, 1, 1, 1, 4, 0, 0, 3, 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1]
vpc-service_discovery_private_dns | 100.0% | [] | [1, 6, 0, 7, 0, 4, 1, 1, 0, 2, 1, 1, 0, 1, 1, 14, 0, 1, 0, 4, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-subnet | 72.0% | [2, 3, 15, 16, 24, 30, 32, 40, 43] | [11, 3, 6, 4, 2, 0, 1, 2, 2, 0, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]
vpc-subnet-instance | 57.99999999999999% | [0, 1, 12, 13, 14, 17, 19, 26, 27, 30, 35, 38, 40, 43, 44, 45, 50, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
vpc-subnet-nat | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 15, 18, 24, 26, 28, 30, 32, 33, 34, 35, 36, 37, 39, 41, 42, 44, 45, 47, 49, 50, 51, 52, 53] | [3, 2, 3, 4, 1, 1, 2, 2, 0, 0, 8, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]
vpc-vpn-customer_gateway | 66.0% | [1, 11, 14, 15, 16, 48, 52] | [10, 1, 1, 9, 0, 3, 2, 2, 1, 0, 1, 6, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]
vpc-vpn-customer_gateway-connection | 66.0% | [1, 13, 15, 21, 22, 32, 41, 42, 47, 52] | [1, 1, 2, 3, 2, 7, 0, 1, 6, 2, 0, 0, 1, 0, 2, 1, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]
wafv2_ip_set | 6.0% | [0, 3, 14, 17, 18, 19, 20, 23, 29, 35, 37] | [28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
workspaces_ip_group | 88.0% | [1, 3, 37, 38, 44, 50] | [2, 1, 2, 2, 1, 0, 1, 1, 6, 0, 2, 6, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]
Average success rate 68.5806451612903%
