Task | Success rate | Errors
vpc-gateway-instance-eip | 22.0% | [0, 1, 3, 7, 11, 12, 18, 21, 23, 26, 29, 31, 35, 36, 39, 40, 46, 47, 48] | [1, 2, 2, 2, 16, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 3, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0]
vpc-gateway-route_table-route | 44.0% | [2, 3, 5, 8, 11, 12, 13, 15, 18, 20, 24, 25, 34, 37, 38, 42, 45, 48] | [11, 3, 1, 2, 2, 1, 0, 1, 1, 1, 6, 3, 1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0]
vpc-service_discovery_private_dns | 0.0% | [0, 1, 13, 15, 16, 18, 21, 38, 41, 46, 48] | [31, 2, 0, 0, 0, 4, 0, 2, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
vpc-subnet | 96.0% | [48] | [17, 0, 2, 3, 0, 13, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
vpc-subnet-instance | 76.0% | [1, 2, 3, 5, 13, 25, 28, 39, 42, 48] | [1, 1, 1, 6, 0, 1, 6, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 5, 2, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 8, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1]
vpc-subnet-nat | 0.0% | [0, 1, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 25, 26, 27, 31, 33, 37, 48] | [7, 2, 1, 0, 1, 1, 1, 3, 1, 2, 6, 1, 0, 0, 1, 0, 1, 0, 3, 3, 5, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1]
vpc-vpn-customer_gateway | 0.0% | [0, 1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 18, 19, 20, 22, 23, 24, 25, 29, 30, 32, 34, 36, 37, 41, 43, 45, 48] | [3, 1, 0, 1, 8, 1, 1, 1, 0, 0, 2, 1, 1, 5, 0, 3, 1, 1, 1, 0, 0, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0]
vpc-vpn-customer_gateway-connection | 0.0% | [0, 1, 2, 3, 4, 7, 9, 11, 12, 14, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 31, 33, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48] | [4, 3, 0, 1, 6, 0, 1, 0, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1]
wafv2_ip_set | 0.0% | [0, 1, 5, 9, 10, 13, 14, 15, 16, 18, 20, 23, 30, 31, 35, 37, 48] | [1, 23, 5, 0, 0, 1, 1, 1, 4, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1]
workspaces_ip_group | 0.0% | [0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 39, 40, 43, 45, 46, 47, 48] | [1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 1, 1]
Average success rate 24.451612903225804%
