Task | Success rate | Errors
vpc-default_network_acl | 0.0% | [0, 1, 2, 3, 4, 6, 10, 11, 13, 15, 16, 17, 20, 23, 24, 25, 29, 33, 34, 35, 38, 39, 42, 45, 46, 47, 48, 49] | [2, 1, 2, 12, 0, 1, 0, 1, 1, 4, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 7, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0]
vpc-egress_only_internet_gateway | 0.0% | [0, 1, 4, 7, 8, 10, 11, 12, 13, 14, 15, 17, 20, 23, 24, 29, 31, 37, 38, 39, 41, 42, 45] | [1, 6, 1, 9, 1, 5, 1, 3, 0, 1, 0, 0, 0, 2, 0, 0, 1, 5, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]
vpc-gateway | 0.0% | [0, 1, 2, 3, 4, 6, 9, 11, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 27, 29, 30, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 48] | [1, 15, 0, 1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 3, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]
vpc-gateway-instance-eip | 0.0% | [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 21, 23, 24, 28, 29, 30, 33, 34, 35, 38, 40, 41, 42, 43, 44, 45, 47] | [3, 1, 2, 1, 1, 1, 1, 0, 0, 11, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 3, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]
vpc-gateway-route_table-route | 0.0% | [0, 1, 2, 3, 5, 8, 9, 11, 12, 14, 15, 17, 19, 20, 22, 24, 25, 26, 27, 29, 30, 33, 36, 39, 40, 41, 47, 48] | [18, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 5, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]
vpc-service_discovery_private_dns | 0.0% | [0, 2, 3, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 24, 25, 27, 29, 30, 31, 32, 34, 36, 37, 39, 40, 42, 43, 44, 45, 47, 49] | [13, 0, 0, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]
vpc-subnet | 0.0% | [0, 1, 2, 5, 7, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 35, 36, 39, 43, 44, 45, 47, 48] | [11, 5, 1, 1, 3, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]
vpc-subnet-instance | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 15, 18, 19, 20, 22, 25, 28, 29, 30, 31, 32, 33, 34, 35, 38, 41, 43, 48, 49] | [1, 1, 1, 1, 1, 16, 0, 1, 0, 0, 2, 4, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1, 1, 3, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
vpc-subnet-nat | 0.0% | [0, 1, 2, 3, 6, 8, 9, 10, 11, 13, 15, 16, 21, 23, 24, 28, 31, 33, 35, 36, 39, 45, 48, 49] | [1, 19, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 5, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]
vpc-vpn-customer_gateway | 0.0% | [0, 1, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 24, 25, 26, 27, 33, 35, 36, 39, 40, 41, 44, 45, 46] | [5, 1, 13, 1, 1, 1, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 4, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]
vpc-vpn-customer_gateway-connection | 0.0% | [0, 1, 3, 5, 7, 9, 11, 12, 13, 14, 16, 17, 19, 26, 27, 29, 30, 31, 34, 35, 36, 37, 39, 41, 46] | [2, 22, 0, 1, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]
wafv2_ip_set | 0.0% | [0, 1, 4, 7, 11, 12, 14, 18, 28, 30, 31, 32, 35, 37, 39, 45, 49] | [7, 13, 0, 2, 3, 0, 3, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
workspaces_ip_group | 0.0% | [0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48] | [2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]
Average success rate 2.5161290322580645%
