Task | Success rate | Errors | Distribution
kubernetes_cluster | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
managed-disk | 0.0% | [0, 2, 10, 11, 13, 14, 15, 21, 24, 25, 37, 40, 42, 43, 45, 47, 48, 49] | [11, 0, 5, 1, 0, 5, 6, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 4, 3, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0]
network | 0.0% | [0, 1, 3, 10, 13, 17, 19, 24, 30, 33, 37, 38, 39, 45, 46, 48] | [2, 12, 6, 0, 0, 1, 0, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0]
network-subnet | 0.0% | [0, 1, 10, 11, 13, 14, 15, 20, 22, 23, 26, 27, 28, 35, 40, 48, 49, 51] | [1, 14, 1, 2, 0, 4, 5, 2, 0, 0, 0, 0, 0, 2, 0, 1, 7, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]
network-subnet-public_ip | 0.0% | [0, 1, 4, 5, 10, 11, 17, 20, 21, 22, 23, 24, 25, 28, 33, 35, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 51, 52] | [4, 3, 4, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 1, 5, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0]
network-subnet-public_ip-firewall | 0.0% | [0, 1, 3, 10, 11, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 44, 45, 46, 47, 48, 53] | [2, 4, 3, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 5, 1, 0, 0, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1]
provider | 100.0% | [] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
public_ip-load_balancer | 0.0% | [0, 1, 2, 3, 11, 12, 15, 19, 20, 26, 27, 30, 33, 41, 42, 43, 45, 47, 50, 53] | [10, 1, 0, 8, 4, 0, 0, 6, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]
resource_group | 100.0% | [] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
storage_account | 0.0% | [0, 1, 10, 11, 12, 13, 16, 20, 23, 27, 34, 41, 47] | [19, 4, 2, 3, 8, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
storage_account-threat_protection | 0.0% | [0, 1, 2, 3, 10, 11, 13, 16, 17, 22, 23, 24, 28, 31, 35, 43, 44, 48] | [2, 2, 16, 1, 0, 1, 0, 0, 1, 13, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
Average success rate 9.523809523809524%
